SpeciesName,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Cockle,207,109,7,629,7,48,4,344,280,349,3,0,269,373,217,374,503,195
Shrimp,416,153,312,324,180,224,134,111,148,172,289,295,363,281,272,430,343,338
Edible crab,13119,9413,9248,7158,7029,5525,8093,6825,6115,6227,6953,6900,9332,9086,8167,8095,6406,6644
Shore crab,266,27,46,91,72,233,129,74,253,30,50,23,165,127,118,288,154,391
Razor clams,401,404,507,339,456,229,443,523,465,852,903,1265,1127,961,1041,783,672,595
Lobster,855,644,611,297,498,423,470,250,244,367,445,363,402,415,345,488,437,482
Velvet crab,291,253,270,138,260,204,342,184,169,366,231,202,277,313,213,253,240,263
Native oyster,1225,457,399,641,138,2130,4149,3399,3669,2717,335,0,1,0,0,0,0,0
Periwinkle,1679,1239,1125,609,1172,1103,1280,110,104,218,1135,0,3,1,0,3,0,1
Queen scallop,110,75,172,28,4,3,0,0,12,134,80,31,201,7,4,3,1,0
King scallop,2421,1229,644,917,1217,2610,1959,2612,2621,2797,2597,2077,2237,2580,2301,2345,1940,2739
Spider crab,182,146,151,66,148,443,414,303,402,228,137,193,161,143,119,425,451,477
Crayfish,80,31,34,16,20,28,30,25,35,34,23,14,10,10,9,30,15,49
Surf clam,28,0,5,14,34,26,25,36,16,37,67,49,51,45,47,44,12,0
Whelk,2600,4154,2917,2644,2097,2163,2975,3174,3446,2628,2180,5014,5822,4977,4638,5090,5302,4938
